	locus_tag
523	MtrunA17_Chr1g0149091
524	MtrunA17_Chr1g0149101
525	MtrunA17_Chr1g0149111
526	MtrunA17_Chr1g0149131
527	MtrunA17_Chr1g0149141
528	MtrunA17_Chr1g0149151
529	MtrunA17_Chr1g0149161
530	MtrunA17_Chr1g0149171
531	MtrunA17_Chr1g0149181
532	MtrunA17_Chr1g0149191
533	MtrunA17_Chr1g0149201
534	MtrunA17_Chr1g0149211
535	MtrunA17_Chr1g0149221
536	MtrunA17_Chr1g0149231
537	MtrunA17_Chr1g0149241
538	MtrunA17_Chr1g0149251
539	MtrunA17_Chr1g0149261
540	MtrunA17_Chr1g0149271
541	MtrunA17_Chr1g0149281
542	MtrunA17_Chr1g0149301
543	MtrunA17_Chr1g0149311
544	MtrunA17_Chr1g0149321
545	MtrunA17_Chr1g0149331
546	MtrunA17_Chr1g0149341
547	MtrunA17_Chr1g0149351
548	MtrunA17_Chr1g0149361
549	MtrunA17_Chr1g0149371
550	MtrunA17_Chr1g0149381
551	MtrunA17_Chr1g0149391
552	MtrunA17_Chr1g0149401
553	MtrunA17_Chr1g0149411
554	MtrunA17_Chr1g0149451
555	MtrunA17_Chr1g0149461
556	MtrunA17_Chr1g0149471
557	MtrunA17_Chr1g0149481
558	MtrunA17_Chr1g0149491
559	MtrunA17_Chr1g0149501
560	MtrunA17_Chr1g0149511
561	MtrunA17_Chr1g0149521
562	MtrunA17_Chr1g0149531
563	MtrunA17_Chr1g0149541
564	MtrunA17_Chr1g0149551
565	MtrunA17_Chr1g0149561
566	MtrunA17_Chr1g0149571
567	MtrunA17_Chr1g0149581
568	MtrunA17_Chr1g0149601
569	MtrunA17_Chr1g0149611
570	MtrunA17_Chr1g0149621
571	MtrunA17_Chr1g0149641
572	MtrunA17_Chr1g0149651
573	MtrunA17_Chr1g0149661
574	MtrunA17_Chr1g0149671
575	MtrunA17_Chr1g0149681
576	MtrunA17_Chr1g0149691
577	MtrunA17_Chr1g0149701
578	MtrunA17_Chr1g0149711
579	MtrunA17_Chr1g0149721
580	MtrunA17_Chr1g0149731
581	MtrunA17_Chr1g0149751
582	MtrunA17_Chr1g0149761
583	MtrunA17_Chr1g0149771
584	MtrunA17_Chr1g0149781
585	MtrunA17_Chr1g0149791
586	MtrunA17_Chr1g0149801
587	MtrunA17_Chr1g0149811
588	MtrunA17_Chr1g0149821
589	MtrunA17_Chr1g0149831
590	MtrunA17_Chr1g0149841
591	MtrunA17_Chr1g0149851
592	MtrunA17_Chr1g0149861
593	MtrunA17_Chr1g0149871
594	MtrunA17_Chr1g0149891
595	MtrunA17_Chr1g0149901
596	MtrunA17_Chr1g0149921
597	MtrunA17_Chr1g0149931
598	MtrunA17_Chr1g0149941
599	MtrunA17_Chr1g0149951
600	MtrunA17_Chr1g0149961
601	MtrunA17_Chr1g0149971
602	MtrunA17_Chr1g0149991
603	MtrunA17_Chr1g0150001
604	MtrunA17_Chr1g0150011
605	MtrunA17_Chr1g0150021
606	MtrunA17_Chr1g0150031
607	MtrunA17_Chr1g0150041
608	MtrunA17_Chr1g0150051
609	MtrunA17_Chr1g0150061
610	MtrunA17_Chr1g0150071
611	MtrunA17_Chr1g0150081
612	MtrunA17_Chr1g0150091
613	MtrunA17_Chr1g0150101
